SerialNo,PartyID,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,LocalBodyName,WardNo,PostName,TotalVotesReceived,EStatus,Rank
33139,1,4,छिरिङ ल्हामो गुरुङ,महिला,24,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी-लेनिनवादी),मुस्तांग,दालोमे गाउँपालिका,1,महिला सदस्य,0,E,1
33140,84,4,छेपे पासाङ गुरुङ,महिला,47,स्वतन्त्र,मुस्तांग,दालोमे गाउँपालिका,2,महिला सदस्य,0,E,1
33141,0,4,धम्च्ये गुरुङ,महिला,47,नेपाली काँग्रेस,मुस्तांग,दालोमे गाउँपालिका,3,महिला सदस्य,0,E,1
33142,0,4,पैमा डोका गुरुङ,महिला,45,नेपाली काँग्रेस,मुस्तांग,दालोमे गाउँपालिका,4,महिला सदस्य,0,E,1
33143,0,4,छुक्की गुरुङ,महिला,30,नेपाली काँग्रेस,मुस्तांग,दालोमे गाउँपालिका,5,महिला सदस्य,0,E,1
